PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
E3GHY9_EUBLK/4-124	0.963077 (8)	34.017857 (4)	22.000000 (2)
F4NRD5_BATDJ/17-166	42.972309 (25)	0.000000 (0)	0.000000 (0)
I0V084_9PSEU/1-140	19.875385 (18)	0.000000 (1)	0.000000 (0)
A1TFB4_MYCVP/100-219	0.643077 (7)	45.232143 (5)	0.000000 (1)
C0WWD9_LACFE/3-146	18.721539 (18)	0.000000 (0)	0.000000 (0)
D5WX76_BACT2/3-146	5.116923 (13)	0.000000 (0)	0.000000 (0)
G7UNU8_PSEUP/9-143	0.755385 (6)	131.732147 (8)	0.000000 (1)
H7FRD6_9FLAO/5-147	37.689232 (24)	0.000000 (0)	0.000000 (0)
A6CXI8_9VIBR/4-146	44.135384 (25)	0.000000 (0)	0.000000 (0)
D5CDS2_ENTCC/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
C9RNE0_FIBSS/4-138	7.423077 (14)	0.000000 (0)	0.000000 (0)
F8DL12_LACRS/3-146	24.755384 (20)	0.000000 (0)	0.000000 (1)
H5UBJ6_9ACTO/14-174	5.955385 (13)	0.000000 (0)	0.000000 (0)
A3ZS18_9PLAN/4-134	1.480000 (8)	131.732147 (8)	117.500000 (4)
F7Q4Z3_9GAMM/6-140	6.589231 (13)	0.000000 (1)	0.000000 (0)
D6L0B8_9NEIS/6-142	9.310769 (15)	0.000000 (0)	0.000000 (0)
C4JWW6_UNCRE/16-182	42.195385 (25)	0.000000 (0)	0.000000 (0)
H8N1B4_CORCM/4-126	0.476923 (4)	0.000000 (1)	65.833336 (3)
F4H5C7_CELFA/7-163	18.595385 (20)	0.000000 (0)	0.000000 (0)
B4MBL5_DROVI/3-150	19.063076 (19)	0.000000 (0)	0.000000 (0)
E4QMV1_METS6/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
Q1MYW6_9GAMM/5-130	1.744615 (8)	39.196430 (5)	0.000000 (1)
E4UA65_OCEP5/6-147	32.312309 (22)	0.000000 (0)	0.000000 (0)
C6AKS2_AGGAN/6-148	21.952307 (19)	0.000000 (0)	0.000000 (0)
C9K1K2_KLEPN/5-139	7.307693 (14)	0.000000 (0)	0.000000 (0)
E2XQL8_PSEFL/1-137	8.013846 (14)	0.000000 (0)	0.000000 (0)
F3NI13_9ACTO/3-145	22.469231 (20)	0.000000 (0)	0.000000 (0)
D8P7N9_9BACT/5-133	0.755385 (6)	131.732147 (8)	117.500000 (4)
F8EKQ5_RUNSL/4-153	43.103077 (25)	0.000000 (0)	0.000000 (0)
D2RQD1_HALTV/16-144	0.800000 (7)	4.642857 (2)	65.833336 (3)
D9WS25_9ACTO/3-145	22.469231 (20)	0.000000 (0)	0.000000 (0)
H3WX68_STALU/3-135	4.541538 (12)	0.000000 (0)	0.000000 (0)
E7RL45_9BACL/3-138	4.330769 (12)	0.000000 (1)	0.000000 (0)
F8A8T1_THEID/4-127	0.826154 (7)	98.392860 (7)	62.583332 (3)
F8WVW2_9PORP/12-157	36.627693 (23)	0.000000 (1)	0.000000 (0)
F5Y155_RAMTT/10-146	0.570769 (6)	131.732147 (8)	0.000000 (1)
C9PJ86_VIBFU/5-143	9.310769 (15)	0.000000 (0)	0.000000 (0)
Q1QX65_CHRSD/4-148	46.073845 (26)	0.000000 (0)	0.000000 (0)
A4X4W3_SALTO/280-401	0.101538 (3)	5.107143 (2)	117.500000 (4)
A3WQF4_9GAMM/5-149	8.792308 (14)	0.000000 (0)	0.000000 (0)
G0HCT8_CORVD/7-175	6.803077 (13)	0.000000 (0)	0.000000 (0)
C0XRT4_9CORY/8-151	21.172308 (19)	0.000000 (0)	0.000000 (1)
D8KG11_LACLN/4-141	12.860000 (16)	0.000000 (0)	0.000000 (0)
F6DBC6_THICA/9-154	44.315384 (25)	0.000000 (0)	0.000000 (0)
B6R4K9_9RHOB/7-138	0.750769 (6)	9.321428 (3)	56.916668 (3)
D5SQ41_PLAL2/227-372	2.803077 (10)	0.000000 (0)	0.000000 (1)
F3KZF3_9GAMM/4-135	0.689231 (6)	78.160713 (6)	0.000000 (0)
C4G480_ABIDE/1-132	7.501538 (8)	0.000000 (0)	0.000000 (0)
F0TCY2_9PROT/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
D2NPF0_ROTMD/4-153	20.335384 (20)	0.000000 (0)	0.000000 (0)
F2NU39_TRES6/4-145	17.736923 (18)	0.000000 (0)	0.000000 (0)
F4MMM6_9BACT/1-137	42.972309 (25)	0.000000 (0)	0.000000 (0)
A5CYB9_PELTS/3-145	2.638462 (10)	0.000000 (0)	0.000000 (1)
F2PKZ7_TRIEC/6-163	42.195385 (25)	0.000000 (0)	0.000000 (0)
E4T884_PALPW/6-151	42.972309 (25)	0.000000 (0)	0.000000 (0)
A9AS18_BURM1/8-142	0.916923 (7)	131.732147 (8)	0.000000 (0)
C6J0A8_9BACL/10-152	36.053844 (23)	0.000000 (0)	0.000000 (0)
H1AVC2_9FIRM/4-146	12.206154 (15)	0.000000 (0)	0.000000 (0)
C7NGS4_KYTSD/21-142	1.200000 (8)	39.035713 (4)	117.500000 (4)
E8YQI2_9BURK/5-138	10.658462 (16)	0.000000 (0)	0.000000 (0)
B7ANK1_9FIRM/1-131	8.556923 (9)	0.000000 (0)	0.000000 (0)
G0F0X6_CUPNN/6-150	44.315384 (25)	0.000000 (0)	0.000000 (0)
H2ICF0_9VIBR/5-143	9.310769 (15)	0.000000 (1)	0.000000 (0)
D3P102_AZOS1/9-143	0.472308 (5)	131.732147 (8)	0.000000 (0)
Q07VY5_SHEFN/6-130	1.536923 (8)	64.875000 (6)	0.000000 (1)
A8LI12_DINSH/7-148	43.103077 (25)	0.000000 (0)	0.000000 (0)
F9YUA2_CAPCC/6-148	42.972309 (25)	0.000000 (0)	0.000000 (0)
F8GNS2_CUPNN/5-138	11.506154 (16)	0.000000 (0)	0.000000 (1)
Q5YM80_NOCFA/7-131	0.535385 (5)	21.696428 (4)	62.583332 (3)
B4W044_9CYAN/1-128	31.393847 (17)	0.000000 (0)	0.000000 (0)
F8DG78_STREP/21-156	16.024616 (17)	0.000000 (0)	0.000000 (0)
H0JXR0_9NOCA/9-150	18.684616 (19)	0.000000 (0)	0.000000 (1)
E5ADJ8_LEPMJ/12-168	38.032307 (24)	0.000000 (0)	0.000000 (0)
F9U2X0_MARPU/9-154	46.073845 (26)	0.000000 (0)	0.000000 (0)
E0VU87_PEDHC/32-176	26.055384 (21)	0.000000 (0)	0.000000 (0)
A4FA26_SACEN/3-145	21.070768 (19)	0.000000 (0)	0.000000 (0)
C6XKD9_HIRBI/4-146	36.053844 (23)	0.000000 (0)	0.000000 (0)
D9TEP6_MICAI/5-177	2.901538 (11)	0.000000 (0)	0.000000 (1)
F2IG73_FLUTR/3-147	46.073845 (26)	0.000000 (0)	0.000000 (0)
F0SIH5_PLABD/242-387	3.495385 (11)	0.000000 (0)	24.000000 (2)
A4ER97_9RHOB/3-135	0.755385 (6)	131.732147 (8)	0.000000 (0)
A8SPR1_9FIRM/15-137	1.092308 (8)	47.857143 (5)	22.000000 (2)
Q2JJ76_SYNJB/4-133	1.538462 (8)	64.571426 (5)	117.500000 (4)
C9NTG3_9VIBR/4-146	21.315384 (19)	0.000000 (0)	0.000000 (0)
D4H8F2_DENA2/6-138	0.543077 (5)	59.678570 (5)	117.500000 (4)
E8W3E0_STRFA/8-129	0.644615 (6)	54.071430 (5)	117.500000 (4)
H3RN06_9LACO/1-123	14.398461 (11)	0.000000 (0)	0.000000 (1)
F7YWS8_9THEM/5-125	0.798462 (7)	77.732140 (6)	117.500000 (4)
Q0EZ82_9PROT/1-135	8.300000 (14)	0.000000 (0)	0.000000 (0)
D0LJW2_HALO1/14-142	0.258462 (4)	24.142857 (4)	117.500000 (4)
H8YY13_9GAMM/24-169	46.073845 (26)	0.000000 (0)	0.000000 (0)
C7RN45_ACCPU/4-149	40.878460 (25)	0.000000 (0)	0.000000 (0)
A3YUQ9_9SYNE/6-151	36.526154 (24)	0.000000 (0)	0.000000 (0)
G0W4C4_NAUDC/9-158	33.926155 (23)	0.000000 (0)	0.000000 (0)
F2IVD9_POLGS/6-139	0.800000 (6)	12.000000 (3)	24.000000 (2)
F0XJP9_GROCL/7-155	40.604614 (24)	0.000000 (0)	0.000000 (0)
B6FN04_9CLOT/1-129	11.026154 (10)	0.000000 (0)	0.000000 (1)
D3PUY7_STANL/86-207	0.644615 (6)	54.071430 (5)	62.583332 (3)
C0W502_9ACTO/29-207	10.210770 (16)	0.000000 (0)	0.000000 (0)
D1PPG7_9FIRM/4-149	17.290770 (18)	0.000000 (0)	0.000000 (0)
F2P9Z6_PHOMO/5-143	9.310769 (15)	0.000000 (0)	0.000000 (1)
D7DMR3_METS0/8-142	0.518462 (6)	104.964287 (7)	0.000000 (0)
G8R3D1_OWEHD/3-145	39.363075 (24)	0.000000 (0)	0.000000 (0)
D0CZ73_9RHOB/8-145	1.333846 (8)	0.000000 (1)	24.000000 (2)
E8RZ25_MICSL/99-219	0.732308 (7)	71.892860 (6)	0.000000 (1)
G7V8N6_THELD/7-136	1.201538 (7)	105.267860 (7)	117.500000 (4)
E7RD59_9BACL/6-135	1.201538 (7)	108.482140 (7)	65.833336 (3)
A6RGS6_AJECN/19-197	42.195385 (25)	0.000000 (0)	0.000000 (0)
H0JX21_9NOCA/6-130	0.535385 (5)	9.321428 (3)	62.583332 (3)
B4S7W4_PROA2/6-136	1.201538 (7)	85.178574 (6)	117.500000 (4)
I1AQK0_9RHOB/93-227	0.910769 (7)	131.732147 (8)	0.000000 (0)
A1K5X4_AZOSB/4-149	40.099998 (25)	0.000000 (0)	0.000000 (0)
G0SLN7_VIBMI/1-130	9.973846 (10)	0.000000 (0)	0.000000 (1)
D4ZLI2_SHEVD/7-150	44.135384 (25)	0.000000 (0)	0.000000 (0)
E2CJM7_9RHOB/4-138	0.538462 (6)	131.732147 (8)	0.000000 (0)
E4LI77_9FIRM/4-145	15.396923 (17)	0.000000 (0)	0.000000 (0)
C7RM10_ACCPU/5-142	5.936923 (12)	0.000000 (0)	0.000000 (0)
A3K078_9RHOB/8-145	1.333846 (8)	0.000000 (1)	24.000000 (2)
A3VZQ5_9RHOB/9-145	1.098462 (7)	0.000000 (1)	24.000000 (2)
Q0URW6_PHANO/12-163	38.032307 (24)	0.000000 (0)	0.000000 (0)
Q8YXV4_NOSS1/4-127	0.640000 (7)	24.428572 (4)	117.500000 (4)
C6IXY5_9BACL/3-185	2.946154 (10)	0.000000 (0)	0.000000 (0)
D3G0G9_BACPE/6-144	3.495385 (11)	0.000000 (1)	0.000000 (0)
C4GC44_9FIRM/350-488	3.156923 (8)	0.000000 (0)	0.000000 (0)
D2EFX9_9EURY/4-132	0.475385 (5)	45.000000 (5)	0.000000 (1)
A3WCU4_9SPHN/1-131	27.700001 (15)	0.000000 (0)	0.000000 (0)
G9QN12_9BACI/4-147	27.106153 (21)	0.000000 (0)	0.000000 (0)
E1VYQ2_ARTAR/4-156	15.329230 (18)	0.000000 (1)	0.000000 (1)
B3QYW2_CHLT3/6-136	1.201538 (7)	85.178574 (6)	117.500000 (4)
B1MME7_MYCA9/13-137	0.535385 (5)	9.321428 (3)	62.583332 (3)
G7UTS9_PSEUP/5-141	9.213846 (15)	0.000000 (0)	0.000000 (0)
B4VH01_9CYAN/6-129	0.826154 (7)	24.428572 (4)	117.500000 (4)
B2JIZ1_BURP8/6-166	37.689232 (24)	0.000000 (0)	0.000000 (0)
A1TA21_MYCVP/8-132	0.390769 (4)	12.071428 (3)	24.000000 (2)
D5AR46_RHOCB/3-142	34.470768 (22)	0.000000 (0)	0.000000 (0)
H0UAL9_BRELA/3-140	4.766154 (12)	0.000000 (1)	0.000000 (1)
E5V3N8_9BACL/4-144	18.244616 (18)	0.000000 (0)	0.000000 (0)
H1S9R3_9BURK/6-151	44.315384 (25)	0.000000 (0)	0.000000 (0)
A9RPM9_PHYPA/165-327	11.461538 (15)	0.000000 (0)	0.000000 (0)
D3CTZ5_9ACTO/17-150	5.987692 (12)	0.000000 (1)	0.000000 (0)
E6VT65_DESAO/4-136	0.476923 (4)	85.178574 (6)	117.500000 (4)
D1BTD3_XYLCX/7-172	16.420000 (19)	0.000000 (0)	0.000000 (0)
F0S7D7_PEDSD/5-134	1.201538 (7)	85.178574 (6)	117.500000 (4)
F1TDN4_9CLOT/13-162	4.366154 (12)	0.000000 (1)	0.000000 (0)
G2IL64_9SPHN/9-152	38.718460 (24)	0.000000 (0)	0.000000 (0)
F5SUM5_9GAMM/4-135	1.201538 (7)	131.732147 (8)	0.000000 (0)
E2MWH2_9CORY/7-133	0.330769 (3)	9.321428 (3)	24.333334 (2)
D2MM46_9FIRM/4-145	19.087692 (18)	0.000000 (0)	0.000000 (0)
E1YKK7_9DELT/15-163	4.335385 (11)	0.000000 (1)	0.000000 (1)
A3ZL14_9PLAN/223-368	2.989231 (10)	0.000000 (0)	0.000000 (1)
E3BJ81_9VIBR/5-142	7.975385 (14)	0.000000 (0)	0.000000 (0)
G1XZ13_9PROT/23-154	2.398462 (9)	20.160715 (4)	56.916668 (3)
A6SPV4_BOTFB/8-155	42.170769 (25)	0.000000 (0)	0.000000 (0)
D6TS32_9CHLR/5-134	0.476923 (4)	131.732147 (8)	117.500000 (4)
Q0A8Q7_ALHEH/9-154	40.544617 (25)	0.000000 (0)	0.000000 (0)
G5JC10_CROWT/1-128	31.393847 (17)	0.000000 (0)	0.000000 (0)
Q03RZ8_LACBA/4-132	1.201538 (7)	108.482140 (7)	117.500000 (4)
B8HV06_CYAP4/10-134	0.892308 (6)	24.410715 (4)	0.000000 (1)
A8T913_9VIBR/4-146	37.113846 (23)	0.000000 (0)	0.000000 (0)
PPAL_SCHPO/7-152	46.073845 (26)	0.000000 (0)	0.000000 (0)
H3G990_PHYRM/4-169	22.073847 (20)	0.000000 (0)	0.000000 (0)
A8IY32_CHLRE/50-250	5.866154 (11)	0.000000 (0)	0.000000 (0)
C6BWT9_DESAD/7-143	1.201538 (7)	64.571426 (5)	117.500000 (4)
H6SP76_RHOPH/51-183	1.636923 (8)	3.428571 (2)	56.916668 (3)
A0NZR4_9RHOB/5-145	46.073845 (26)	0.000000 (0)	0.000000 (0)
I0RHE4_MYCXE/12-133	0.476923 (5)	54.071430 (5)	117.500000 (4)
F5T840_9FIRM/4-149	15.396923 (17)	0.000000 (0)	0.000000 (0)
A3TRQ0_9MICO/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
D5EK36_CORAD/6-136	1.201538 (7)	108.482140 (7)	24.000000 (2)
G9ECZ2_9GAMM/6-131	0.484615 (5)	64.875000 (6)	0.000000 (0)
ARSC_OCEIH/6-135	1.201538 (7)	108.482140 (7)	65.833336 (3)
E8MAW9_9VIBR/5-143	11.506154 (16)	0.000000 (0)	0.000000 (0)
A9DFN6_9RHIZ/16-147	1.064615 (7)	3.428571 (2)	24.000000 (2)
C7QYK6_JONDD/4-165	18.595385 (20)	0.000000 (0)	0.000000 (0)
B2UQ37_AKKM8/9-155	37.856922 (24)	0.000000 (0)	0.000000 (0)
C7DFZ2_9EURY/7-137	0.649231 (6)	12.000000 (3)	65.833336 (3)
B8GPA1_THISH/14-142	1.678462 (6)	47.410713 (5)	0.000000 (1)
C1DM68_AZOVD/5-143	7.484615 (14)	0.000000 (0)	0.000000 (0)
F9HFB4_9STRE/4-135	16.024616 (17)	0.000000 (0)	0.000000 (0)
B2GGN5_KOCRD/6-155	12.416924 (17)	0.000000 (0)	0.000000 (0)
C8PXF5_9GAMM/9-142	1.152308 (8)	75.821426 (6)	0.000000 (0)
F9FJT0_FUSOF/7-155	46.073845 (26)	0.000000 (0)	0.000000 (0)
A3W871_9RHOB/117-251	0.910769 (7)	131.732147 (8)	0.000000 (0)
Q2JU35_SYNJA/5-150	40.878460 (25)	0.000000 (0)	0.000000 (0)
D0IC06_VIBHO/5-143	7.153846 (14)	0.000000 (1)	0.000000 (0)
E1EVM1_GIAIA/3-145	21.156923 (19)	0.000000 (0)	0.000000 (0)
A1TQ67_ACIAC/11-156	46.073845 (26)	0.000000 (0)	0.000000 (0)
B7VLX3_VIBSL/4-146	41.141537 (24)	0.000000 (0)	0.000000 (0)
Q2SIL3_HAHCH/27-169	1.806154 (9)	0.000000 (1)	0.000000 (0)
A7M6Z2_KLEPN/5-139	7.612308 (14)	0.000000 (1)	0.000000 (0)
Q3SEV3_THIDA/7-131	1.201538 (7)	105.267860 (7)	24.333334 (2)
F4QZL3_BREDI/5-148	34.381538 (23)	0.000000 (0)	0.000000 (0)
C7N349_SLAHD/4-145	19.118462 (19)	0.000000 (0)	0.000000 (0)
D6HR47_9FIRM/6-127	1.092308 (8)	12.017858 (3)	0.000000 (1)
H6N5C5_GORPV/7-131	0.770769 (6)	0.000000 (1)	24.000000 (2)
A5DSP1_LODEL/14-163	37.646152 (24)	0.000000 (0)	0.000000 (0)
G3AW86_CANTC/9-155	34.044617 (23)	0.000000 (0)	0.000000 (0)
C9PBN6_VIBFU/7-149	39.013847 (24)	0.000000 (0)	0.000000 (0)
D6SMH4_9DELT/7-139	1.141539 (7)	81.928574 (6)	117.500000 (4)
D8JRR9_HYPDA/9-143	0.755385 (6)	131.732147 (8)	0.000000 (0)
C5R9U2_WEIPA/4-134	2.206154 (9)	108.482140 (7)	117.500000 (4)
H0DGF7_9STAP/3-135	3.495385 (11)	0.000000 (0)	0.000000 (0)
G5KFI2_9STRE/4-137	16.024616 (17)	0.000000 (0)	0.000000 (0)
C3WIR7_9FUSO/6-127	1.092308 (8)	59.678570 (5)	49.666668 (3)
B7GMG8_ANOFW/7-142	4.429231 (12)	0.000000 (0)	24.000000 (2)
C7NJI5_KYTSD/3-150	26.961538 (21)	0.000000 (0)	0.000000 (0)
D1VZI6_9BACT/8-154	46.073845 (26)	0.000000 (0)	0.000000 (0)
PTPB_STAHJ/3-135	5.224616 (13)	0.000000 (1)	0.000000 (1)
Q46Q70_CUPPJ/5-138	10.549231 (16)	0.000000 (0)	0.000000 (0)
D3QYW8_CLOB3/3-146	5.935385 (13)	0.000000 (1)	13.416667 (2)
Q0FES1_9RHOB/7-144	1.549231 (8)	11.250000 (3)	24.000000 (2)
Q9CFU2_LACLA/4-131	2.206154 (9)	108.482140 (7)	117.500000 (4)
H8E676_9MICO/9-130	0.953846 (7)	39.035713 (4)	117.500000 (4)
B4G3I8_DROPE/3-150	19.063076 (19)	0.000000 (0)	0.000000 (0)
Q8CV84_OCEIH/5-147	27.106153 (21)	0.000000 (0)	0.000000 (0)
B4WQV6_9SYNE/5-150	37.856922 (24)	0.000000 (0)	0.000000 (0)
Q13NV0_BURXL/6-139	10.658462 (16)	0.000000 (0)	0.000000 (1)
C6HYR2_9BACT/36-174	5.992308 (12)	0.000000 (0)	0.000000 (1)
B8DZ86_DICTD/6-135	0.472308 (5)	105.267860 (7)	62.583332 (3)
E3DRG5_HALPG/7-153	2.989231 (10)	0.000000 (0)	56.916668 (3)
G7G950_9GAMM/6-139	9.310769 (15)	0.000000 (1)	0.000000 (1)
Q13LV2_BURXL/7-141	0.792308 (7)	24.142857 (4)	0.000000 (0)
C8P6Y8_9LACO/4-133	1.509231 (8)	131.732147 (8)	117.500000 (4)
H0I9K4_9MYCO/6-149	17.521538 (18)	0.000000 (0)	0.000000 (0)
D5EQR9_CORAD/4-149	31.601538 (22)	0.000000 (0)	0.000000 (1)
H2FVP0_OCESG/14-156	44.135384 (25)	0.000000 (0)	0.000000 (0)
F2I6Q9_AERUA/4-146	11.315385 (15)	0.000000 (0)	0.000000 (0)
H0JU37_9NOCA/114-245	1.004615 (8)	108.482140 (7)	0.000000 (1)
A5UYB0_ROSS1/13-154	19.593845 (19)	0.000000 (0)	0.000000 (1)
A6BD83_9FIRM/1-129	7.092308 (9)	0.000000 (0)	0.000000 (0)
E6JC67_9ACTO/5-168	4.246154 (12)	0.000000 (0)	0.000000 (0)
C6Y3B7_PEDHD/4-133	1.201538 (7)	85.178574 (6)	117.500000 (4)
C3XGD0_9HELI/11-150	25.478462 (20)	0.000000 (0)	0.000000 (1)
E3ZX07_LISSE/4-124	1.233846 (9)	77.732140 (6)	117.500000 (4)
I0R232_9MICO/8-129	0.832308 (7)	54.071430 (5)	117.500000 (4)
H2G0X4_OCESG/4-128	1.986154 (9)	64.875000 (6)	0.000000 (1)
A4GA71_HERAR/8-142	0.870769 (7)	131.732147 (8)	0.000000 (0)
A8SDF5_9FIRM/6-127	0.786154 (7)	47.857143 (5)	0.000000 (1)
Q1LAW7_RALME/16-149	10.533846 (17)	0.000000 (0)	0.000000 (0)
F4F8R1_VERMA/5-177	2.901538 (11)	0.000000 (0)	0.000000 (1)
D7BKR6_ARCHD/6-126	0.615385 (6)	28.571428 (4)	62.583332 (3)
G5F3L8_9ACTN/4-145	16.647692 (17)	0.000000 (0)	0.000000 (0)
B9JR43_AGRVS/25-156	0.750769 (6)	3.428571 (2)	24.000000 (2)
C0XFU0_LACHI/4-147	24.755384 (20)	0.000000 (0)	0.000000 (1)
C6LIL6_9FIRM/7-144	3.323077 (8)	0.000000 (0)	0.000000 (0)
Q1VV19_9FLAO/4-146	35.027691 (23)	0.000000 (0)	0.000000 (0)
G2SCH7_ENTAL/5-139	10.658462 (16)	0.000000 (0)	0.000000 (0)
C9S9E6_VERA1/8-157	42.170769 (25)	0.000000 (0)	0.000000 (0)
D5AML0_RHOCB/8-145	1.549231 (8)	1.928571 (2)	24.000000 (2)
Q0AAI5_ALHEH/8-144	9.120000 (15)	0.000000 (0)	56.916668 (3)
D0SXF3_ACILW/6-139	9.310769 (15)	0.000000 (1)	0.000000 (1)
F8H3U6_PSEUT/3-148	46.073845 (26)	0.000000 (0)	0.000000 (0)
A0Z7U5_9GAMM/4-134	0.826154 (7)	78.160713 (6)	0.000000 (0)
F2RD90_STRVP/5-151	30.761538 (22)	0.000000 (0)	0.000000 (0)
C0ER30_NEIFL/6-148	16.575384 (17)	0.000000 (0)	0.000000 (0)
F1LE52_ASCSU/16-163	43.103077 (25)	0.000000 (0)	0.000000 (0)
H6SQE3_RHOPH/31-165	0.712308 (6)	131.732147 (8)	0.000000 (0)
O28910_ARCFU/3-123	0.813846 (7)	17.267857 (3)	0.000000 (1)
D7BLT5_ARCHD/3-184	12.416924 (17)	0.000000 (0)	0.000000 (0)
D3MRW3_9FIRM/6-147	16.618462 (17)	0.000000 (0)	0.000000 (0)
A1S743_SHEAM/8-150	44.135384 (25)	0.000000 (0)	0.000000 (0)
E4KZJ4_9FIRM/6-127	0.786154 (7)	47.857143 (5)	22.000000 (2)
G1X8F3_ARTOA/1-137	31.393847 (17)	0.000000 (0)	0.000000 (0)
H0PU44_9RHOO/6-151	40.099998 (25)	0.000000 (0)	0.000000 (0)
F7V8D7_CLOSS/4-146	17.718462 (18)	0.000000 (0)	0.000000 (0)
E2SBV5_9ACTO/7-128	0.953846 (7)	54.071430 (5)	117.500000 (4)
E8U311_DEIML/4-131	0.478462 (5)	105.267860 (7)	117.500000 (4)
C6J8C4_9FIRM/4-149	15.396923 (17)	0.000000 (0)	0.000000 (0)
Q0FGQ4_9RHOB/3-136	0.755385 (6)	131.732147 (8)	0.000000 (0)
F3AFU4_9FIRM/4-145	14.278461 (16)	0.000000 (0)	0.000000 (0)
D5H649_SALRM/5-131	6.766154 (14)	0.000000 (1)	0.000000 (1)
A6C069_9PLAN/4-134	1.201538 (7)	131.732147 (8)	117.500000 (4)
E3CWN6_9BACT/6-139	0.475385 (5)	71.553574 (6)	117.500000 (4)
G0LCZ4_KLEPN/9-143	9.009231 (15)	0.000000 (0)	0.000000 (0)
A0LZ12_GRAFK/19-161	37.689232 (24)	0.000000 (0)	0.000000 (0)
B3EFV1_CHLL2/14-159	27.240000 (21)	0.000000 (1)	0.000000 (1)
A9WG49_CHLAA/14-151	1.212308 (5)	0.000000 (0)	0.000000 (0)
D0LPJ6_HALO1/9-138	0.546154 (6)	104.964287 (7)	117.500000 (4)
F8LDH9_9CHLA/4-147	25.261538 (20)	0.000000 (1)	0.000000 (0)
G2PQS8_MURRD/5-146	42.972309 (25)	0.000000 (0)	0.000000 (0)
D0PRC5_9GAMM/6-131	0.643077 (6)	64.875000 (6)	0.000000 (0)
F4QMH7_9CAUL/11-146	0.476923 (4)	24.428572 (4)	0.000000 (0)
E5XC76_9ACTN/7-148	14.824615 (17)	0.000000 (0)	0.000000 (0)
B1BZ81_9FIRM/1-129	3.207692 (6)	0.000000 (0)	0.000000 (0)
G7ZQC3_STAAU/3-135	4.330769 (12)	0.000000 (0)	0.000000 (0)
F4P2L3_BATDJ/4-134	0.476923 (4)	131.732147 (8)	117.500000 (4)
A3TJ20_9MICO/14-164	15.516923 (18)	0.000000 (0)	0.000000 (0)
H9UJY3_9SPIO/7-139	0.475385 (5)	84.446426 (6)	14.250000 (2)
B3T7B8_9ZZZZ/17-161	3.003077 (9)	0.000000 (0)	24.000000 (2)
C0BI20_9BACT/7-137	1.600000 (8)	85.178574 (6)	117.500000 (4)
E6PNE7_9ZZZZ/3-133	2.020000 (9)	108.482140 (7)	0.000000 (0)
A5USM9_ROSS1/116-243	0.472308 (5)	131.732147 (8)	22.000000 (2)
A6P2T3_9FIRM/1-124	8.021539 (9)	0.000000 (0)	0.000000 (0)
E8RW07_ASTEC/7-141	0.546154 (6)	99.410713 (7)	0.000000 (0)
D0LNU7_HALO1/9-138	0.472308 (5)	104.964287 (7)	117.500000 (4)
H0BXU5_9BURK/6-140	0.755385 (6)	131.732147 (8)	0.000000 (0)
F0P2B9_WEEVC/3-143	33.926155 (23)	0.000000 (0)	0.000000 (0)
H1G2A4_9GAMM/5-150	37.158463 (24)	0.000000 (0)	0.000000 (0)
C8WST2_ALIAD/6-135	1.538462 (8)	131.732147 (8)	117.500000 (4)
D1B526_SULD5/4-126	1.201538 (7)	81.928574 (6)	0.000000 (0)
F4AX82_KROS4/11-153	37.689232 (24)	0.000000 (0)	0.000000 (0)
E3BAF2_9MICO/69-242	7.120000 (13)	0.000000 (0)	0.000000 (1)
Q0AE92_NITEC/1-126	2.749231 (7)	0.000000 (0)	0.000000 (1)
H1PP15_9FUSO/6-127	1.092308 (8)	47.857143 (5)	22.000000 (2)
F3B964_9FIRM/5-146	14.992308 (17)	0.000000 (0)	0.000000 (0)
B1KCB2_BURCC/4-135	3.986154 (11)	0.000000 (0)	0.000000 (1)
G4N373_MAGO7/48-196	40.604614 (24)	0.000000 (0)	0.000000 (0)
C5C7B4_MICLC/115-236	0.946154 (7)	3.160714 (2)	117.500000 (4)
A0LQW3_ACIC1/7-156	31.246155 (22)	0.000000 (0)	0.000000 (0)
H0JFB4_9PSED/5-141	9.213846 (15)	0.000000 (0)	0.000000 (0)
D3F8F3_CONWI/4-125	0.832308 (7)	39.035713 (4)	117.500000 (4)
C4LCF5_TOLAT/7-140	7.612308 (15)	0.000000 (0)	0.000000 (0)
A2DJ06_TRIVA/10-143	11.723077 (15)	0.000000 (0)	0.000000 (0)
A6USV5_METVS/12-131	0.593846 (6)	19.142857 (3)	56.916668 (3)
B8MB74_TALSN/12-187	42.170769 (25)	0.000000 (0)	0.000000 (0)
A4T7G7_MYCGI/95-216	0.643077 (6)	54.071430 (5)	117.500000 (4)
A2BYX4_PROM5/6-153	35.992310 (24)	0.000000 (0)	0.000000 (0)
Q5WB62_BACSK/5-138	4.429231 (12)	0.000000 (1)	0.000000 (0)
Q3B274_PELLD/5-135	1.201538 (7)	81.928574 (6)	117.500000 (4)
F9ECV6_9ACTO/22-200	10.210770 (16)	0.000000 (0)	0.000000 (0)
F5SH21_9BACL/4-143	4.358461 (12)	0.000000 (0)	19.500000 (2)
B3R267_CUPTR/5-138	11.506154 (16)	0.000000 (0)	0.000000 (1)
